"employerId","jobId","hourlyRate","educationRequirement","location2","location3"
"1735","1023","12.35201943","HighSchoolOrCollege","1228.3633247963812","5592.86911075103"
"1735","1024","81.11111269","Graduate","1228.3633247963812","5592.86911075103"
"1735","1025","32.8495328","Graduate","1228.3633247963812","5592.86911075103"
"1735","1026","10","Low","1228.3633247963812","5592.86911075103"
"1735","1027","12.85227901","Bachelors","1228.3633247963812","5592.86911075103"
"1735","1028","29.7986982","Bachelors","1228.3633247963812","5592.86911075103"
"1736","1029","19.87990156","Bachelors","1477.1207126960026","6278.752204471673"
"1736","1030","33.85419554","Graduate","1477.1207126960026","6278.752204471673"
"1736","1031","29.21278471","Bachelors","1477.1207126960026","6278.752204471673"
"1736","1032","16.1450585","Bachelors","1477.1207126960026","6278.752204471673"
"1736","1033","32.13620468","HighSchoolOrCollege","1477.1207126960026","6278.752204471673"
"1737","1034","26.05744955","HighSchoolOrCollege","912.6638663764152","5476.423146435112"
"1737","1035","29.80940677","HighSchoolOrCollege","912.6638663764152","5476.423146435112"
"1737","1036","17.01070245","HighSchoolOrCollege","912.6638663764152","5476.423146435112"
"1737","1037","28.96891858","Low","912.6638663764152","5476.423146435112"
"1737","1038","14.78287882","HighSchoolOrCollege","912.6638663764152","5476.423146435112"
"1737","1039","10","HighSchoolOrCollege","912.6638663764152","5476.423146435112"
"1737","1040","10","HighSchoolOrCollege","912.6638663764152","5476.423146435112"
"1737","1041","40.08308064","Bachelors","912.6638663764152","5476.423146435112"
"1738","1042","23.67276734","Bachelors","1269.8801486108077","6467.922072582076"
"1738","1043","13.73146359","Bachelors","1269.8801486108077","6467.922072582076"
"1738","1044","11.2078442","HighSchoolOrCollege","1269.8801486108077","6467.922072582076"
"1739","1045","10.9614756","HighSchoolOrCollege","1192.0361253019605","5751.680013350011"
"1739","1046","10","HighSchoolOrCollege","1192.0361253019605","5751.680013350011"
"1739","1047","10","HighSchoolOrCollege","1192.0361253019605","5751.680013350011"
"1739","1048","10","HighSchoolOrCollege","1192.0361253019605","5751.680013350011"
"1740","1049","25.05297583","HighSchoolOrCollege","1246.6604548085643","5236.905970442903"
"1740","1050","17.3031235","HighSchoolOrCollege","1246.6604548085643","5236.905970442903"
"1740","1051","22.60393345","Bachelors","1246.6604548085643","5236.905970442903"
"1741","1052","29.59011339","HighSchoolOrCollege","1358.9177195722223","5186.911895550575"
"1741","1053","10","HighSchoolOrCollege","1358.9177195722223","5186.911895550575"
"1742","1054","10.17554134","HighSchoolOrCollege","1768.5935943485088","7256.152298524017"
"1742","1055","10","Low","1768.5935943485088","7256.152298524017"
"1742","1056","34.8612211","Bachelors","1768.5935943485088","7256.152298524017"
"1742","1057","12.79400672","HighSchoolOrCollege","1768.5935943485088","7256.152298524017"
"1742","1058","19.39909013","HighSchoolOrCollege","1768.5935943485088","7256.152298524017"
"1742","1059","25.78204584","Bachelors","1768.5935943485088","7256.152298524017"
"1742","1060","19.22929439","HighSchoolOrCollege","1768.5935943485088","7256.152298524017"
"1743","1061","10","Low","1317.6233658608667","5364.252683412442"
"1743","1062","40.96624944","Graduate","1317.6233658608667","5364.252683412442"
"1743","1063","18.14987516","Bachelors","1317.6233658608667","5364.252683412442"
"1743","1064","10","HighSchoolOrCollege","1317.6233658608667","5364.252683412442"
"1743","1065","17.65635719","Bachelors","1317.6233658608667","5364.252683412442"
"1744","1066","14.59848535","Low","1477.6757809909245","6898.416765323038"
"1744","1067","15.37486953","HighSchoolOrCollege","1477.6757809909245","6898.416765323038"
"1744","1068","10","Bachelors","1477.6757809909245","6898.416765323038"
